Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Coverage of Sports Athletes,"The concept 'Coverage of Sports Athletes' refers to the extent to which specific athletes or sports figures are mentioned in the text. This can include references to their athletic performance, career achievements, personal anecdotes, or controversies. Texts that frequently namedrop athletes or sports figures often pertain to sports coverage or analysis.",How extensively does the text mention specific athletes or sports figures?,"['highly extensive', 'moderate', 'scarcely', 'no mention']","{'highly extensive': 'The text regularly mentions specific athletes or sports figures, with their contributions or actions at the center of the narrative.', 'moderate': 'The text mentions specific athletes or sports figures at certain points, but they are not the main focus of the text.', 'scarcely': 'The text only briefly or infrequently mentions specific athletes or sports figures.', 'no mention': 'The text does not mention specific athletes or sports figures.'}","{'highly extensive': 2, 'moderate': 1, 'scarcely': -1, 'no mention': -2}"
International Diplomacy and Policy,"This concept refers to texts that contain comprehensive discussions or mentions of international diplomacy, interstate relationships, policies, and political strategy. These could involve international treaties, negotiations between nations, sanctions, diplomatic meetings, policy changes, and strategic decisions on a global scale. Often these texts mention country capitals, political leaders, international organizations, and foreign affairs terms.",How extensively does the text discuss international diplomacy and policy?,"['significant extent', 'moderate extent', 'minimal extent', 'no extent', 'uncertain']","{'significant extent': 'The text contains a high frequency of mentions related to international diplomacy and policy. These might involve foreign treaties, interstate negotiations, sanctions, or policy changes. Country leaders, capitals, or international organizations could also be mentioned several times.', 'moderate extent': 'The text contains some mentions of international diplomacy and policies, but they are not a major focus in the text. There might be some mention of international leaders, treaties, or policy changes.', 'minimal extent': 'The text contains very few mentions of international diplomacy or policies. This might be a brief mention that does not significantly contribute to the overall discussion in the text.', 'no extent': 'The text does not contain any mentions of international diplomacy or policy.', 'uncertain': ""It's difficult to determine the presence of mentions related to international diplomacy and policies in the text.""}","{'significant extent': 3, 'moderate extent': 2, 'minimal extent': 1, 'no extent': -1, 'uncertain': 0}"
Prominent Sports Players and Teams,"'Prominent Sports Players and Teams' refers to the mentions or description of renowned athletes, sports teams, sports coaches or managers in the text. It entails the presence of names of internationally recognised sports figures, renowned teams, or iconic sports personalities. Texts with prominent mentions of such figures are likely to be strongly related to sports news or events.",How prominently does the text mention sports players or teams?,"['highly prominent', 'moderately prominent', 'not prominent', 'uncertain']","{'highly prominent': 'The text frequently mentions or centers around specific athletes, teams, or sports figures. These are often well-known figures or teams and their mention is integral to the subject of the text.', 'moderately prominent': 'The text mentions athletes, teams, or sports figures sporadically, or the figures mentioned are not immediately recognisable or well-known.', 'not prominent': 'The text does not mention athletes, teams, or sports figures, or the mentions are not in relation to their sporting career or events.', 'uncertain': 'It is difficult to determine the prominence of sports figures or team mentions in the text due to lack of context or ambiguity.'}","{'highly prominent': 2, 'moderately prominent': 1, 'not prominent': -1, 'uncertain': 0}"
Existence of Global Relations,"'Existence of Global Relations' refers to the detection of words, themes, or topics in the text that relate to the relationships or interactions between different countries or international entities. This may include topics of diplomacy, trade relations, international conflicts, international agreements, or participation in international organizations.",Does the text discuss or highlight the relations or interactions between countries or international entities?,"['high presence', 'moderate presence', 'low presence', 'no presence']","{'high presence': 'The text strongly focuses on the relationships or interactions between different countries or international entities, such as diplomatic duty, trade agreements, international conflicts, or participation in international organizations.', 'moderate presence': 'The text somewhat discusses or mentions relations or interactions between different countries or international entities, but it is not the primary focus of the text.', 'low presence': 'The text barely mentions or discusses relations or interactions between different countries or international entities.', 'no presence': 'The text does not discuss or mention relations or interactions between different countries or international entities.'}","{'high presence': 3, 'moderate presence': 2, 'low presence': 1, 'no presence': 0}"
World Affairs and Geopolitics,"The 'World Affairs and Geopolitics' concept refers to the discussion of international events, global issues, diplomatic relations, political leaders, nations' policies, and geopolitical developments. These may include diplomatic negotiations, international conflicts, geopolitical crises, and actions of political leaders.",To what extent does the text discuss or mention world affairs and geopolitics?,"['high extent', 'moderate extent', 'minimal extent', 'no extent', 'uncertain']","{'high extent': 'The text extensively discusses or mentions world affairs or geopolitics. Key themes in the text revolve around global events, international relations, and geopolitical developments. Mentions of world leaders, diplomatic events, or global issues are prevalent throughout the text.', 'moderate extent': 'The text moderately discusses or mentions world affairs or geopolitics. While not the primary focus, the text does include some discussion or mentions of global events, geopolitical issues, international relations, or political leaders.', 'minimal extent': 'The text includes limited or peripheral discussions or mentions of world affairs or geopolitics. Only a few elements of international relations, global events, geopolitical developments, or world leaders are mentioned, and they do not significantly contribute to the main theme or topic in the text.', 'no extent': 'The text does not discuss or mention world affairs or geopolitics. There are no references to international relations, global events, geopolitical issues, or world leaders.', 'uncertain': 'It is difficult to determine the extent of discussion or mentions of world affairs or geopolitics in the text. The context or wording might be ambiguous or lack sufficient context.'}","{'high extent': 2, 'moderate extent': 1, 'minimal extent': -1, 'no extent': -2, 'uncertain': 0}"
Mention of Sport Rules and Techniques,"The concept 'Mention of Sport Rules and Techniques' refers to situations where the text describes or mentions specific rules, regulations, techniques, or strategies related to a certain sport. It includes mention of game tactics, rule-based decisions, technical terms, or procedures characteristic of specific sports.","Does the text mention specific rules, techniques or strategies related to a certain sport?","['extensive mention', 'moderate mention', 'minimal mention', 'no mention', 'uncertain']","{'extensive mention': 'The text frequently discusses or mentions specific sports rules, techniques, or strategies, showing a deep focus on the technical aspects of a sport.', 'moderate mention': 'The text mentions sports rules, techniques, or strategies but is not the primary focus of the content.', 'minimal mention': 'The text mentions sports rules, techniques or strategies rarely or in passing.', 'no mention': 'The text does not mention any specific sports rules, techniques, strategies.', 'uncertain': 'It is challenging to determine if the text discusses sports rules, techniques, or strategies due to missing or ambiguous context.'}","{'extensive mention': 2, 'moderate mention': 1, 'minimal mention': -1, 'no mention': -2, 'uncertain': 0}"
Mention of Competitive Sports Events,"The 'Mention of Competitive Sports Events' concept looks at the presence of references to competitive sports events such as matches, games, contests, tournaments, championships, or races in the text. It includes mentions of the type of competition, the teams or individuals competing, the stakes of the competition, or the results.",How extensively does the text mention competitive sports events?,"['highly extensive', 'moderately extensive', 'minimal to no mention', 'uncertain']","{'highly extensive': 'The text heavily revolves around one or more competitive sports events, providing explicit mentions or descriptions of the nature of the competition, the team or individuals involved, the stakes of the competition, or the results.', 'moderately extensive': 'The text features mentions of competitive sports events, but it is not the central focus of the content. Mentions are limited in depth and detail.', 'minimal to no mention': 'Sports events are either mentioned very briefly, vaguely, or not at all in the text.', 'uncertain': 'It is difficult to determine the extent of references to sports events in the text due to lack of clarity, context, or sufficient information.'}","{'highly extensive': 2, 'moderately extensive': 1, 'minimal to no mention': -1, 'uncertain': 0}"
Mentions of International Conflicts,"This concept refers to the extent to which a text discusses or mentions international conflicts, wars, disputes, or crisis situations. This can include mentions of conflicts between nations, military interventions, peace negotiations, effects and aftermaths of war, or crisis interventions. Texts with a high degree of this concept are likely to be associated with world news focusing on geopolitical events.",What is the extent of the text's mention of international conflicts?,"['heavy mention', 'moderate mention', 'no mention', 'uncertain']","{'Heavy Mention': ""The text heavily focuses on or involves discussions about international conflicts, wars or crisis situations. There's a frequent mention of these instances throughout the text."", 'Moderate Mention': 'The text includes a moderate amount of mention about international conflicts, wars or crisis situations. There are instances where these topics are mentioned but they are not the main focus of the text.', 'No Mention': 'The text does not discuss or mention any international conflicts, wars, or crisis situations. These topics are not present in the text at all.', 'Uncertain': 'It is difficult to determine the extent to which the text mentions international conflicts, wars or crisis situations. There might be terms or discussions that are ambiguous or vague, or lack sufficient context.'}","{'Heavy Mention': 2, 'Moderate Mention': 1, 'No Mention': -1, 'Uncertain': 0}"
Specific Sports Discussed,"This concept refers to the mention or discussion of specific sports, their rules, players, events or competitions in the text. This can include names of sports like Soccer, Tennis, Baseball, or specific teams or players associated with them. Texts with a high presence of such terminology are likely to be discussing specific sports-related topics, matches, competitions or sports news.",What is the level of specific sports discussion or mention in the text?,"['high presence', 'moderate presence', 'low presence', 'no presence']","{'high presence': ""The text is heavily discussing a specific sport, mentioning the sport's name, rules, associated players or teams, events or competitions. For example, discussing the outcome of a specific football match, players performance, or the impact of new rules on the game."", 'moderate presence': ""The text contains some discussion of a specific sport, mentioning the sport's name, rules, associated players or teams, events or competitions occasionally throughout the text. It does not heavily revolve around it, but the sport's mention contributes to the content and context of the text."", 'low presence': ""The text contains very limited discussion or mention of a specific sport, rules, associated players or teams, events or competitions. The sport's mention does not have a significant weightage within the overall context or content of the text."", 'no presence': 'The text does not discuss or mention any specific sport, rules, associated players or teams, events or competitions'}","{'high presence': 2, 'moderate presence': 1, 'low presence': -1, 'no presence': -2}"
Mention of Business Transactions,"This concept refers to the extent to which a text discusses or mentions various forms of commercial activities. This includes buying and selling of goods, mergers and acquisitions, pricing strategies, changes in stock values, business decisions regarding investments, sales, and other similar activities. Texts that mention business transactions frequently are likely to be related to the business sector.",Does the text discuss business transactions?,"[' extensive mention', 'moderate mention', ' minimal mention', 'no mention', 'uncertain']","{'extensive mention': 'Text discusses business transactions as a central theme, frequently referring to various commercial activities.', 'moderate mention': 'Text mentions business transactions occasionally or as part of a broader theme.', 'minimal mention': 'Text only lightly touches upon business transactions or briefly refers to them.', 'no mention': 'Text does not discuss business transactions at all.', 'uncertain': 'It is unclear whether the text discusses business transactions or not.'}","{'extensive mention': 3, 'moderate mention': 2, 'minimal mention': 1, 'no mention': -1, 'uncertain': 0}"
Inclusion of Sports Team Names,"The concept 'Inclusion of Sports Team Names' pertains to the mention of sports teams, clubs, squads or player groups in the text. It includes not only familiar, high-profile teams from global sports but also less-known or emerging teams. Texts exhibiting this concept usually report about sports events, matches, competitions, sports figures or sports news.",How extensively does the text mention sports team names?,"['Highly extensive', 'Moderately extensive', 'Minimal to no mention', 'Uncertain']","{'Highly extensive': ""The text contains multiple references or substantial discussion about one or more sports teams. The team names form an integral part of the text's narrative or topic."", 'Moderately extensive': 'The text mentions one or few sports team names but does not center its narrative wholly around them.', 'Minimal to no mention': ""The text makes little to no mention of sports team names. Any such mentions are incidental and not central to the text's narrative."", 'Uncertain': 'It is not clear whether sports team names are mentioned in the text due to lack of context or ambiguity.'}","{'Highly extensive': 2, 'Moderately extensive': 1, 'Minimal to no mention': -1, 'Uncertain': 0}"
Civil Unrest and Social Developments,"This concept refers to the mention or discussion of events, situations, or developments relating to civil unrest, protests, societal changes, or human rights issues. This can include demonstrations, movements for social change, issues of discrimination or inequality, social policy changes, and humanitarian crises. Texts with a high occurrence of such references usually deal with world affairs and societal issues and often mention specific groups, individuals, or locations at the center of these developments.",To what extent does the text discuss civil unrest or societal changes?,"['high extent', 'moderate extent', 'low extent', 'no extent', 'uncertain']","{'high extent': 'Texts mentions or discusses events, situations or developments related to civil unrest, protests, societal changes, or human rights issues frequently and in detail.', 'moderate extent': 'Text contains some mention or discussion of civil unrest, societal changes, or human rights issues, but it is not the primary focus.', 'low extent': 'Text provides minimal discussion or mention of civil unrest, societal changes, or human rights issues.', 'no extent': 'Text does not mention or discuss civil unrest, societal changes, or human rights issues at all.', 'uncertain': 'It is unclear whether the text discusses or mentions civil unrest, societal changes, or human rights issues.'}","{'high extent': 2, 'moderate extent': 1, 'low extent': -1, 'no extent': -2, 'uncertain': 0}"
Space Exploration and Satellite Technology,"'Space Exploration and Satellite Technology' refers to the mention or discussion of topics related to space exploration, spacecraft, satellites, space missions, space agencies or astronomers in the text. This concept is frequently found in texts that focus on advances in space research, discoveries or advancements in astronomy, or breakthroughs related to satellite technology.",What extent does the text discuss topics related to space exploration and satellite technology?,"['highly extensive', 'moderately extensive', 'minimal to no mention', 'uncertain']","{'highly extensive': 'The text discusses space exploration, satellites, space agencies, and other related topics in great detail, and these are the main focus of the text. It likely mentions specific missions, technologies, findings, or scientific terminology related to space and satellite technology.', 'moderately extensive': 'The text mentions space exploration and satellite technology, but not in great detail or as the main focus. It may briefly mention a related topic or event, or includes a peripheral mention of a space mission or agency.', 'minimal to no mention': 'The text either briefly mentions or does not mention space exploration and satellite technology at all.', 'uncertain': 'It is difficult to determine if the text mentions space exploration and satellite technology. The text might be too vague, ambiguous, or lack sufficient context.'}","{'highly extensive': 1, 'moderately extensive': 2, 'minimal to no mention': -1, 'uncertain': 0}"
Presence of Technology Product Announcements,"This concept relates to the mention or detailed discussion of new product releases, updates, improvements or unveilings by technology companies. It could be about software, hardware, digital platforms or internet services. Texts with a high presence of such announcements are likely to be discussing tech news, products or initiatives.",Does this text discuss the announcement of a new product or a significant update from a tech company?,"['high presence', 'moderate presence', 'low presence', 'no presence']","{'high presence': 'The text primarily revolves around the release or announcement of a new product or an update from a tech company. The product and its features are described in detail.', 'moderate presence': 'The text mentions tech product announcements or updates, but it is not the main focus of the discussion.', 'low presence': 'The text contains a minimal or passing mention of a tech product announcement.', 'no presence': 'The text does not mention or discuss any tech product announcement.'}","{'high presence': 3, 'moderate presence': 2, 'low presence': 1, 'no presence': 0}"
