,0
2218,12
2219,140
2220,130
2221,10
2222,186
2223,139
2224,131
2225,51
2226,90
2227,20
2228,124
2229,180
2230,43
2231,31
2232,155
2233,112
2234,8
2235,43
2236,85
2237,50
2238,147
2239,49
2240,24
2241,188
2242,165
2243,17
2244,154
2245,133
2246,14
2247,91
2248,199
2249,116
2250,18
2251,51
2252,62
2253,112
2254,160
2255,77
2256,6
2257,129
2258,18
2259,42
2260,189
2261,143
2262,70
2263,103
2264,95
2265,113
2266,126
2267,116
2268,133
2269,21
2270,73
2271,103
2272,82
2273,2
2274,16
2275,181
2276,93
2277,10
2278,80
2279,160
2280,0
2281,11
2282,112
2283,197
2284,75
2285,33
2286,127
2287,66
2288,136
2289,185
2290,83
2291,122
2292,135
2293,187
2294,196
2295,128
2296,50
2297,103
2298,9
2299,85
2300,137
2301,168
2302,66
2303,38
2304,23
2305,33
2306,93
2307,104
2308,2
2309,14
2310,79
2311,21
2312,143
2313,1
2314,135
2315,162
2316,163
2317,175
2318,39
2319,65
2320,106
2321,46
2322,8
2323,118
2324,78
2325,98
2326,89
2327,66
2328,104
2329,94
2330,195
2331,114
2332,121
2333,91
2334,155
2335,78
2336,106
2337,174
2338,92
2339,8
2340,29
2341,184
2342,193
2343,118
2344,110
2345,126
2346,66
2347,68
2348,83
2349,117
2350,2
2351,16
2352,184
2353,167
2354,41
2355,187
2356,120
2357,144
2358,22
2359,87
2360,181
2361,59
2362,82
2363,84
2364,142
2365,8
2366,157
2367,138
2368,108
2369,30
2370,157
2371,51
2372,70
2373,164
2374,185
2375,187
2376,115
2377,91
2378,199
2379,172
2380,155
2381,84
2382,71
2383,134
2384,89
2385,91
2386,42
2387,13
2388,65
2389,67
2390,40
2391,173
2392,107
2393,76
2394,161
2395,194
2396,42
2397,14
2398,180
2399,6
2400,75
2401,93
2402,84
2403,89
2404,47
2405,108
2406,27
2407,185
2408,131
2409,80
2410,162
2411,57
2412,173
2413,164
2414,9
2415,28
2416,117
2417,196
2418,14
2419,109
2420,158
2421,50
2422,125
2423,78
2424,187
2425,163
2426,60
2427,154
2428,22
2429,68
2430,194
2431,39
2432,28
2433,90
2434,111
2435,27
2436,52
2437,100
2438,27
2439,198
2440,71
2441,94
2442,120
2443,107
2444,97
2445,101
2446,1
2447,64
2448,47
2449,104
2450,18
2451,198
2452,8
2453,83
2454,107
2455,8
2456,25
2457,175
2458,189
2459,181
2460,41
2461,138
2462,167
2463,51
2464,141
2465,26
2466,117
2467,31
2468,67
2469,151
2470,182
2471,45
2472,149
2473,92
2474,189
2475,168
2476,32
2477,78
2478,32
2479,162
2480,91
2481,112
2482,148
2483,94
2484,147
2485,92
2486,74
2487,197
2488,71
2489,193
2490,182
2491,28
2492,76
2493,194
2494,45
2495,102
2496,120
2497,85
2498,156
2499,161
2500,50
2501,153
2502,156
2503,155
2504,102
2505,55
2506,3
2507,62
2508,37
2509,186
2510,169
2511,198
2512,45
2513,124
2514,12
2515,141
2516,45
2517,57
2518,130
2519,125
2520,60
2521,0
2522,150
2523,15
2524,162
2525,26
2526,22
2527,109
2528,75
2529,148
2530,53
2531,174
2532,156
2533,117
2534,15
2535,183
2536,50
2537,100
2538,115
2539,32
2540,9
2541,134
2542,75
2543,3
2544,110
2545,162
2546,89
2547,152
2548,143
2549,63
2550,188
2551,88
2552,172
2553,34
2554,22
2555,87
2556,167
2557,177
2558,136
2559,57
2560,181
2561,38
2562,194
2563,75
2564,162
2565,26
2566,61
2567,77
2568,71
2569,75
2570,151
2571,81
2572,73
2573,28
2574,27
2575,130
2576,156
2577,45
2578,165
2579,64
2580,110
2581,20
2582,193
2583,142
2584,163
2585,96
2586,158
2587,48
2588,176
2589,115
2590,71
2591,57
2592,34
2593,27
2594,10
2595,15
2596,168
2597,179
2598,50
2599,150
2600,137
2601,115
2602,1
2603,101
2604,155
2605,179
2606,136
2607,194
2608,23
2609,89
2610,189
2611,69
2612,107
2613,46
2614,107
2615,19
2616,131
2617,104
2618,166
2619,16
2620,173
2621,40
2622,98
2623,134
2624,111
2625,115
2626,11
2627,48
2628,182
2629,180
2630,60
2631,72
2632,141
2633,118
2634,156
2635,153
2636,101
2637,23
2638,126
2639,104
2640,153
2641,141
2642,68
2643,130
2644,120
2645,13
2646,30
2647,60
2648,179
2649,169
2650,131
2651,154
2652,143
2653,162
2654,110
2655,155
2656,37
2657,77
2658,180
2659,198
2660,150
2661,167
2662,65
2663,64
2664,188
2665,149
2666,63
2667,173
2668,150
2669,153
2670,65
2671,44
2672,131
2673,22
2674,168
2675,71
2676,28
2677,7
2678,116
2679,27
2680,7
2681,83
2682,42
2683,155
2684,188
2685,90
2686,107
2687,12
2688,162
2689,125
2690,13
2691,175
2692,67
2693,71
2694,170
2695,71
2696,108
2697,11
2698,64
2699,155
2700,58
2701,184
2702,96
2703,64
2704,160
2705,36
2706,97
2707,81
2708,164
2709,134
2710,195
2711,122
2712,130
2713,26
2714,170
2715,112
2716,157
2717,104
2718,104
2719,84
2720,36
2721,23
2722,120
2723,69
2724,170
2725,103
2726,86
2727,44
2728,30
2729,37
2730,62
2731,116
2732,38
2733,77
2734,36
2735,198
2736,44
2737,163
2738,14
2739,161
2740,48
2741,156
2742,159
2743,158
2744,195
2745,84
2746,11
2747,37
2748,83
2749,56
2750,113
2751,134
2752,33
2753,15
2754,85
2755,98
2756,71
2757,41
2758,75
2759,145
2760,54
2761,39
2762,112
2763,85
2764,162
2765,101
2766,19
2767,198
2768,117
2769,17
2770,113
2771,53
2772,97
2773,4
2774,171
2775,58
2776,10
2777,32
2778,153
2779,40
2780,132
2781,52
2782,20
2783,69
2784,81
2785,188
2786,74
2787,26
2788,18
2789,142
2790,38
2791,127
2792,121
2793,136
2794,24
2795,68
2796,30
2797,70
2798,38
2799,193
2800,86
2801,131
2802,86
2803,195
2804,34
2805,1
2806,175
2807,63
2808,105
2809,31
2810,8
2811,96
2812,55
2813,5
2814,37
2815,168
2816,22
2817,166
2818,41
2819,173
2820,196
2821,114
2822,185
2823,44
2824,21
2825,84
2826,145
2827,18
2828,88
2829,130
2830,195
2831,54
2832,186
2833,100
2834,66
2835,187
2836,41
2837,194
2838,63
2839,76
2840,131
2841,120
2842,177
2843,19
2844,123
2845,175
2846,193
2847,14
2848,105
2849,38
2850,26
2851,90
2852,146
2853,95
2854,179
2855,47
2856,115
2857,2
2858,195
2859,63
2860,3
2861,68
2862,175
2863,31
2864,125
2865,2
2866,195
2867,47
2868,30
2869,161
2870,97
2871,166
2872,62
2873,93
2874,131
2875,23
2876,102
2877,111
2878,142
2879,42
2880,151
2881,61
2882,64
2883,45
2884,167
2885,71
2886,108
2887,156
2888,178
2889,146
2890,186
2891,20
2892,39
2893,180
2894,33
2895,181
2896,41
2897,15
2898,11
2899,1
2900,106
2901,129
2902,181
2903,119
2904,146
2905,37
2906,125
2907,47
2908,99
2909,87
2910,67
2911,82
2912,24
2913,76
2914,13
2915,197
2916,79
2917,56
2918,19
2919,148
2920,48
2921,159
2922,4
2923,96
2924,92
2925,115
2926,113
2927,50
2928,132
2929,130
2930,111
2931,91
2932,183
2933,184
2934,173
2935,26
2936,86
2937,157
2938,154
2939,57
2940,115
2941,86
2942,189
2943,113
2944,199
2945,170
2946,97
2947,51
2948,8
2949,104
2950,9
2951,88
2952,147
2953,124
2954,174
2955,124
2956,64
2957,41
2958,17
2959,85
2960,103
2961,29
2962,11
2963,77
2964,192
2965,149
2966,90
2967,177
2968,135
2969,49
2970,195
2971,153
2972,41
2973,119
2974,39
2975,124
2976,193
2977,176
2978,154
2979,43
2980,45
2981,170
2982,158
2983,91
2984,173
2985,161
2986,76
2987,100
2988,53
2989,189
2990,184
2991,38
2992,22
2993,44
2994,97
2995,74
2996,6
2997,49
