Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Corporate Strategic Movements,"The 'Corporate Strategic Movements' concept refers to references, mentions, or discussions in the text related to strategic decisions made by companies or corporations. It includes corporate restructuring, management reshuffling, expansion plans, downsizing, changes in corporate direction or strategy, product/service launches, etc. It is usually found in texts related to the 'business' category.","Does the text discuss, refer to, or mention any significant corporate strategic movements?","['major strategic movement', 'minor strategic movement', 'potential strategic movement', 'no strategic movement', 'uncertain']","{'major strategic movement': ""The text discusses in detail significant strategic changes such as corporate restructuring, management reshuffling, expansion plans, downsizing, product/service launches etc. The strategic movement holds substantial impact on the company's operational or business standing."", 'minor strategic movement': ""The text references or briefly mentions strategic changes but does not delve into their details or implications. The strategic movement may not hold a significant impact on the company's operational or business standing."", 'potential strategic movement': 'The text suggests or speculates about possible strategic changes but does not confirm them explicitly.', 'no strategic movement': 'The text does not mention any significant corporate strategic movements.', 'uncertain': 'The text might be ambiguous, vague, or lack sufficient context to ascertain whether it discusses any corporate strategic movements.'}","{'major strategic movement': 2, 'minor strategic movement': 1, 'potential strategic movement': 1, 'no strategic movement': -1, 'uncertain': 0}"
Corporate Financial Performance,"The concept of 'Corporate Financial Performance' pertains to any reference, mention, or discussion in the text associated with the financial results or performance of companies or corporations. This includes discussions on profits, losses, earnings, sales, and other financial indicators that are indicative of the company's fiscal health and performance. This concept is typically evident in texts related to the 'business' category.",What information does the text provide regarding the financial performance of a corporate entity?,"['detailed financial performance', 'brief financial performance', 'indirect mention of financial performance', 'no mention of financial performance', 'uncertain']","{'detailed financial performance': ""The text provides comprehensive and detailed information about a company's financial performance. This could include specific figures for profits, losses, revenues, expenditures, sales, or other fiscal indicators."", 'brief financial performance': ""The text provides brief or rudimentary information about a company's financial performance. Figures or financial indicators might be present, but they are not discussed in an in-depth manner."", 'indirect mention of financial performance': 'The text alludes to the financial performance without providing specifics, or the financial performance is implied in the context.', 'no mention of financial performance': 'The text does not mention or discuss the financial performance of any corporation.', 'uncertain': 'It is difficult to determine whether or how the text discusses the financial performance of a corporate entity. The text might be vague, ambiguous, or lack sufficient context.'}","{'detailed financial performance': 2, 'brief financial performance': 1, 'indirect mention of financial performance': 0, 'no mention of financial performance': -1, 'uncertain': 0}"
Product Launches and Innovations,"The concept 'Product Launches and Innovations' refers to any mention or discussion in the text related to the introduction of new products, services or significant updates to existing products by companies. It can also involve mentions of technological advancements, innovations, patents, breakthroughs, or any kind of novel propositions brought to market by a company or organization. It is generally common in texts categorized as 'business' or 'sci/tech'.","Does the text discuss product launches, new service introductions, or significant technological innovations?","['significant product/service launch or innovation', 'minor product/service launch or innovation', 'potential product/service launch or innovation', 'no product/service launch or innovation', 'uncertain']","{'significant product/service launch or innovation': 'The text discusses in detail about a significant product launch, new service introduction, or a major technological innovation brought about by a company. This can include detailed descriptions about the features, implications, or the impact of the launch or innovation.', 'minor product/service launch or innovation': 'The text briefly mentions or refers to a product launch, new service, or technological innovation but does not delve into extensive details or discussions.', 'potential product/service launch or innovation': 'The text discusses potential or planned product launches, service introductions, or technological innovations. The discussions might be based on rumors, anticipations, predictions, or official announcements from the companies.', 'no product/service launch or innovation': 'The text does not mention or discuss any product launches, service introductions, or technological innovations.', 'uncertain': 'It is unclear whether the text is discussing a product launch, service introduction, or technological innovation. The text might be vague, ambiguous, or lack sufficient context to determine.'}","{'significant product/service launch or innovation': 2, 'minor product/service launch or innovation': 1, 'potential product/service launch or innovation': -1, 'no product/service launch or innovation': -2, 'uncertain': 0}"
Scientific Research Institutions,"This concept refers to whether the text mentions or refers to scientific research institutions, laboratories, universities, or any such organization involved in scientific research, technological innovation, or technological services. Mention of such institutions or entities can often indicate that the text belongs to the 'sci/tech' category.",Does the text mention any scientific research institution or organization involved in scientific research or technology services?,"['multiple mentions', 'single mention', 'indirect mention', 'no mention', 'uncertain']","{'multiple mentions': 'The text mentions more than one scientific research institution or organization involved in scientific research or technological services.', 'single mention': 'The text mentions one scientific research institution or organization involved in scientific research or technological services.', 'indirect mention': 'The text indirectly refers to a scientific research institution or organization involved in scientific research or technological services.', 'no mention': 'The text does not mention any scientific research institution or organization involved in scientific research or technological services.', 'uncertain': 'It is unclear or ambiguous whether the text mentions or refers to a scientific research institution or an organization involved in scientific research or technology services.'}","{'multiple mentions': 2, 'single mention': 1, 'indirect mention': 0, 'no mention': -1, 'uncertain': 0}"
Presence of Scientific Discoveries and Technological Advancements,"This concept refers to mentions or discussions about scientific discoveries, technological advancements or innovations, scientific theories, experimental findings or breakthroughs in the field of science and technology. Such information can often be found in texts that belong to the 'sci/tech' category.",Does the text mention scientific discoveries or technological advancements?,"['extensive mention', 'brief mention', 'indirect mention', 'no mention', 'uncertain']","{'extensive mention': 'The text details or focuses on scientific discoveries or technological advancements, providing significant information.', 'brief mention': 'The text mentions scientific discoveries or technological advancements in passing or provides limited information.', 'indirect mention': 'The text alludes to scientific discoveries or technological advancements without explicitly mentioning them.', 'no mention': 'The text does not mention any scientific discoveries or technological advancements.', 'uncertain': 'It is hard to determine if the text mentions scientific discoveries or technological advancements.'}","{'extensive mention': 2, 'brief mention': 1, 'indirect mention': -1, 'no mention': -2, 'uncertain': 0}"
Technological Changes and Developments,"This concept refers to any reference, mention, or discussion within the text related to technological changes, developments, trends, or shifts in the field of science and technology. This might include advancements in software/hardware, updates to existing technology, discussions on tech economy, introducting of new gadgets, technological implications in society, etc. It is generally spotted in texts categorized as 'sci/tech'.",What is the level of discussion on technological changes and developments in the text?,"['extensive discussion', 'brief discussion', 'vague or indirect mention', 'no mention', 'uncertain']","{'extensive discussion': ""Text contains a detailed or thorough discussion on technological changes, developments, trends, or shifts including the mention of specific tech jargons, references to tech companies' advancements, etc."", 'brief discussion': 'Text contains a concise or brief discussion regarding technological changes or developments without going into deep details.', 'vague or indirect mention': 'Text contains a vague or indirect mention of technological changes or developments. Here, the discussion is not clear and is open to different interpretations.', 'no mention': 'Text does not contain any discussion, mention, or reference relating to technological changes or developments.', 'uncertain': 'It is unclear whether or not the text discusses technological changes and developments due to lack of context or ambiguity in the text.'}","{'extensive discussion': 3, 'brief discussion': 2, 'vague or indirect mention': 1, 'no mention': -1, 'uncertain': 0}"
Scientific or Technology Concepts,"This concept refers to the mention or use of scientific or technology-related concepts, theories, principles, laws, or systems in the text. Such mentions could refer to, but are not limited to, topics like computer systems, robotics, AI, machine learning, data science, quantum physics, genetics, chemical reactions, space exploration, etc. References to these topics can suggest that the text is related to the 'sci/tech' category.","Does the text discuss, refer to, or elaborate on specific scientific or technology-related concepts, theories, principles, laws, or systems?","['extensive discussion', 'brief discussion', 'indirect mention', 'no mention', 'uncertain']","{'extensive discussion': 'The text contains thorough and detailed discussions or explanations of scientific or technology-related concepts, theories, principles, laws, or systems.', 'brief discussion': 'The text contains brief or minimal mentions of scientific or technology-related concepts, theories, principles, laws, or systems but does not elaborate on them.', 'indirect mention': 'The text somewhat alludes to scientific or technology-related concepts, theories, principles, laws, or systems but not directly or explicitly.', 'no mention': 'The text does not mention any scientific or technology-related concepts, theories, principles, laws, or systems at all.', 'uncertain': 'It is not clear or evident whether the text discusses, refers to, or elaborates on any scientific or technology-related concepts, theories, principles, laws, or systems.'}","{'extensive discussion': 2, 'brief discussion': 1, 'indirect mention': -1, 'no mention': -2, 'uncertain': 0}"
Sports Terminology and Jargon,"This concept refers to the mention of specific jargon, terminologies, or phrases related to the sports realm. This includes terminology associated with specific sports like 'home run', 'freekick', 'slam dunk', and 'break point', references to different sports rules, match strategies, gaming positions or any common phrases often used in sports commentary.","Does the text use specific sports terminologies, jargon, or phrases?","['extensive sports terminology', 'moderate sports terminology', 'minimal sports terminology', 'no sports terminology', 'uncertain']","{'extensive sports terminology': 'The text heavily uses terminologies, jargon or phrases that are associated with sports. Multiple sports-related phrases, positions, strategies are mentioned.', 'moderate sports terminology': 'The text contains a moderate amount of sports-related jargon and terminology. There are some mentions of sports-related terms but they are not the main focus of the text.', 'minimal sports terminology': 'The text contains few mentions of sports-related jargon, terminology, or phrases indicating it may not primarily focus on a sports topic.', 'no sports terminology': 'The text does not contain any noticeable specifications or terminologies related to sports.', 'uncertain': 'It is hard to determine if the text contains any specific sports terminology or jargon.'}","{'extensive sports terminology': 2, 'moderate sports terminology': 1, 'minimal sports terminology': -1, 'no sports terminology': -2, 'uncertain': 0}"
Corporate Leadership Changes,"The 'Corporate Leadership Changes' concept covers any discussions, mentions or references in the text related to changes in the leadership or management of companies. This encompasses management reshuffling, CEO changes, board appointments, roles shifting, etc. Such occurrences are usually mentioned in texts categorized under the 'business' category.",Does the text mention any changes in the corporate leadership or management of companies?,"['major leadership changes', 'minor leadership changes', 'potential leadership changes', 'no leadership changes', 'uncertain']","{'major leadership changes': 'The text clearly refers to significant changes in the executive or leadership positions in a company, such as changes to the CEO, board of directors, or top management.', 'minor leadership changes': 'The text mentions some changes in leadership positions but these are not at the top executive or management level.', 'potential leadership changes': 'The text discusses the possibility or rumors of future changes in leadership or management positions within a company.', 'no leadership changes': 'The text does not mention any changes in the leadership or management roles within a company.', 'uncertain': ""It's unclear if the text discusses changes in corporate leadership or management, the information is vague, ambiguous or lacks context.""}","{'major leadership changes': 2, 'minor leadership changes': 1, 'potential leadership changes': 1, 'no leadership changes': -1, 'uncertain': 0}"
Market Movements and Trends,"This concept refers to any reference to, mention of, or discussion about market movements, fluctuations, trends, dynamics, market indicators or predictions in the text. 'Market Movements and Trends' can be related to stock market performance, commodity prices, financial markets, industry trends, economic indicators, market forecasting, or any insights into the movement of financial and business markets. It is often found in texts within the 'business' category.","What does the text say about market movements, fluctuations, or industry trends?","['extensive discussion', 'brief discussion', 'indirect mention', 'no mention', 'uncertain']","{'extensive discussion': 'The text heavily focuses on discussions around market movements, industry trends or financial fluctuations.', 'brief discussion': 'The text mentions market movements, trends, or fluctuations briefly or as part of a larger context.', 'indirect mention': 'The text does not explicitly talk about market fluctuations or trends but makes indirect references or alludes to these aspects.', 'no mention': 'The text does not mention any market movements or industry trends.', 'uncertain': 'It is unclear whether or how the text discusses market movements or industry trends, the information is ambiguous.'}","{'extensive discussion': 2, 'brief discussion': 1, 'indirect mention': -1, 'no mention': -2, 'uncertain': 0}"
New Business Ventures and Initiatives,"This concept refers to mentions of new business ventures, initiatives, projects, business expansions, or start-ups in the text. It includes discussion about the formation of new companies, start-ups, or substantial diversification of current business services or products. Typically found in texts categorized as 'business', this concept can provide insight into novel business-related activities.",How does the text discuss new business ventures and initiatives?,"['significant new venture/initiative', 'minor new venture/initiative', 'potential new venture/initiative', 'no new venture/initiative', 'uncertain']","{'significant new venture/initiative': 'The text provides a detailed discussion or mention of a significant new business venture or initiative, which could include formation of new companies, substantial diversification of current business offerings, or large-scale business expansion.', 'minor new venture/initiative': 'The text briefly mentions or indirectly refers to a new business venture or initiative, but it is not a main focus of the discussion.', 'potential new venture/initiative': 'The text discusses a potential or proposed new business venture or initiative, but it is not yet confirmed or finalized.', 'no new venture/initiative': 'The text does not mention or discuss any new business venture or initiative.', 'uncertain': 'It is unclear or ambiguous whether the text discusses any new business venture or initiative.'}","{'significant new venture/initiative': 2, 'minor new venture/initiative': 1, 'potential new venture/initiative': 0, 'no new venture/initiative': -1, 'uncertain': 0}"
Reference to Technological Companies and Products,"This concept refers to any mention or reference to well-known tech companies, start-ups, their products, product updates, services or systems, electronics or gadgets. This could include both hardware and software aspects. Such references could suggest that the text is related to 'sci/tech' category.",To what extent does the text mention or reference technological companies or their products?,"['extensive reference', 'moderate reference', 'brief reference', 'no reference', 'uncertain']","{'extensive reference': 'The text discusses or mentions well-known tech companies, their products or services significantly and it is a central part of the text.', 'moderate reference': 'The text mentions or alludes to tech companies, their products or services but it is not the central theme of the text.', 'brief reference': 'The text briefly mentions or alludes to tech companies or their products once or twice.', 'no reference': 'The text does not have any reference or mention of tech companies or their products.', 'uncertain': 'It is difficult to determine if the text contains any references or mentions of tech companies or their products.'}","{'extensive reference': 2, 'moderate reference': 1, 'brief reference': -2, 'no reference': -1, 'uncertain': 0}"
Mentions of Internet Services,"'Mentions of Internet Services' refers to any mention or reference to well-known Internet services, platforms, online tools, or web-based technologies in the text. This could include social media platforms, search engines, eCommerce platforms, cloud services, streaming services, digital payment systems, among others. Such mentions could suggest that the text is related to the 'sci/tech' category.",Does the text mention internet services or platforms?,"['extensive mention', 'moderate mention', 'brief mention', 'no mention', 'uncertain']","{'extensive mention': 'The text contains several explicit mentions of one or more internet services, platforms or online tools. They are a central part of the discussion or topic.', 'moderate mention': 'The text contains a few mentions of one or more internet services or platforms. They contribute to the discussion or topic but are not central to it.', 'brief mention': 'The text contains a single or a couple of mentions of an internet service or platform. They may or may not contribute significantly to the discussion or topic.', 'no mention': 'The text does not contain any mentions of internet services or platforms.', 'uncertain': 'It is difficult to determine if the text mentions any internet services/platforms or not.'}","{'extensive mention': 2, 'moderate mention': 1, 'brief mention': 0, 'no mention': -1, 'uncertain': -2}"
Discussions on Market and Business Strategies,"The concept 'Discussions on Market and Business Strategies' refers to whether the text discusses, refers to, or alludes to strategic decisions, plans, proposals or tactical choices made by companies or corporations, that could potentially affect the business market. This could include aspects such as entry into new markets, exploration of different customer segments, changes in pricing strategy, innovative marketing techniques, launching new product lines, etc. Such mentions can typically indicate that the text belongs to the 'business' category.",To what extent does the text discuss market or business strategies of companies?,"['Extensive discussion', 'Brief discussion', 'Vague or indirect mention', 'No discussion', 'Uncertain']","{'Extensive discussion': 'The text significantly discusses strategic decisions, plans or proposals that businesses are making or planning to make, which could have potential impacts on the market. It might detail the strategy, its implications, expected results, etc.', 'Brief discussion': 'The text mentions market or business strategies, but the discussion is limited, brief or does not go into detail about the tactics, its implications, or expected outcomes.', 'Vague or indirect mention': 'The text vaguely or indirectly mentions strategic business decisions or market tactics, but it is not the central focus of the text, or the discussion lacks clarity.', 'No discussion': 'The text does not mention or discuss any market or business strategies of companies.', 'Uncertain': 'It is unclear whether the text is discussing any market or business decisions or not due to lack of context or ambiguity in the language.'}","{'Extensive discussion': 2, 'Brief discussion': 1, 'Vague or indirect mention': -1, 'No discussion': -2, 'Uncertain': 0}"
Mention of Scientific Phenomena,"'Mention of Scientific Phenomena' refers to any references or mentions of natural or scientific phenomena, processes, or principles in the text. This includes references to various scientific fields such as physics, chemistry, biology, astronomy, geology, etc. Such mentions often indicate that the text belongs to the 'sci/tech' category.",What is the level of reference to scientific phenomena in the text?,"['extensive', 'brief', 'vague/indirect', 'no mention', 'uncertain']","{'extensive': 'The text contains detailed descriptions or extensive discussions referencing scientific phenomena or processes, possibly explaining or analyzing them.', 'brief': 'The text contains brief or passing mentions of scientific phenomena, but such mentions are not the primary focus of the text.', 'vague/indirect': 'The text might contain indirect or somewhat unclear references to scientific phenomena, requiring interpretation to identify.', 'no mention': 'The text does not reference or mention any scientific phenomena.', 'uncertain': 'It is difficult to determine whether or how the text refers to scientific phenomena.'}","{'extensive': 2, 'brief': 1, 'vague/indirect': 0, 'no mention': -1, 'uncertain': 0}"
Company Rebranding,"The 'Company Rebranding' concept refers to discussions, references, or mentions in the text connected with businesses or organizations undergoing a rebranding process. This involves changing the corporate image, modifying the brand name, logo, marketing strategies, or altering the company's mission or vision. It is often found in texts under the 'business' category.",Does the text mention or allude to a company or organization's rebranding process?,"['significant rebranding process', 'minor rebranding process', 'potential rebranding process', 'no rebranding process', 'uncertain']","{'significant rebranding process': ""The text provides detailed discussion on the rebranding process which could include the changes in the company's brand name, logo, corporate image, marketing strategies, or alterations in the company's mission or vision."", 'minor rebranding process': ""The text mentions the rebranding process but details are minimal or of less impact, it may only involve minor or cosmetic changes to the company's image or branding."", 'potential rebranding process': 'The text mentions possible or future plans of a company to undergo a rebranding process.', 'no rebranding process': 'The text does not mention or discuss any rebranding process.', 'uncertain': 'It is difficult to determine whether the text discusses a rebranding process, or the available information is too vague or lacks sufficient context.'}","{'significant rebranding process': 2, 'minor rebranding process': 1, 'potential rebranding process': 1, 'no rebranding process': -1, 'uncertain': 0}"
Mention of Financial Figures,"The 'Mention of Financial Figures' concept refers to any mention or discussion in the text related to the disclosure of specific monetary amounts or values. This includes the mention of company profits, losses, expenditures, investments, transaction values, market values, financial predictions and estimates. It is typically found in texts categorized under the 'business' label.",What is the extent of financial figures mentioned in the text?,"['extensive', 'moderate', 'minimal', 'no mention', 'uncertain']","{'extensive': 'The text includes multiple explicit mentions of specific financial figures or amounts relevant to business matters.', 'moderate': 'The text includes one or two explicit mentions of specific financial figures or amounts relevant to business matters.', 'minimal': 'The text includes vague or indirect mention of financial figures or amounts, but not specific numbers.', 'no mention': 'The text does not include any mention of financial figures or amounts.', 'uncertain': 'It is unclear whether the text mentions financial figures or amounts.'}","{'extensive': 2, 'moderate': 1, 'minimal': -1, 'no mention': -2, 'uncertain': 0}"
Sports - specific language and phrases,"This concept refers to distinct phrases, catchwords, descriptions, and jargon commonly used in the context of different sports. Such mentions are usually related to specific sports actions, game strategies or commonly used language in sports contexts","Does the text contain language, phrases, or jargon specific to sports context?","['High frequency', 'Moderate frequency', 'Low/No frequency', 'No sports-specific language found']","{'High frequency': 'Sports-specific language is extensively used throughout the text, with multiple distinct words, phrases, or jargon directly related to any sports context', 'Moderate frequency': 'Sports-specific language is used occasionally within the text. There are a few words, phrases, or jargon directly related to sports', 'Low/No frequency': 'Sports-specific language is hardly noticeable in the text and if present, the usage is very infrequent or limited', 'No sports-specific language found': 'The text does not contain any discernible sports-specific language, phrases, or jargon'}","{'High frequency': 3, 'Moderate frequency': 2, 'Low/No frequency': 1, 'No sports-specific language found': 0}"
